# id	left	top	right	bottom	texture_id
[SPRITES]

#UIBAR la 130 141 Tam coin: 147 138 Tam Timer : 139 146 tam power: 67 138 score:67	146 live 44 146 world 52 138
170001	5	125	256	158	80

#NUMBER
170800	77	31	84	37	80
170801	87	31	94	37	80
170802	97	31	104	37	80
170803	107	31	114	37	80
170804	117	31	124	37	80
170805	127	31	134	37	80
170806	137	31	144	37	80
170807	147	31	154	37	80
170808	157	31	164	37	80
170809	167	31	174	37	80
170900	64	162	71	168	80
170901	91	162	98	168	80
170902	73	162	87	168	80
170903	100	162	114	168	80


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
